nohup: ignoring input
2026-08-03 01:01:43.641909: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2026-08-03 01:01:44.375270: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
[class 6] === START 01:01:49 n_steps=1500 coskew_batch=5000 slice_size=16 ===
[class 6] loading CIFAR-10 ...
[class 6] data loaded in 1.9s
[class 6] 5000 real samples, D=3072, device=cuda
  [setup] N_real=5000 D=3072 n_fake=5000 coskew_batch=5000 slice_size=16 num_slices=192 n_steps=1500 device=cuda

[class6]   [detail] step     0/1500 means=0.000125 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 63.677s/step elapsed=1.1min | mem alloc=1.68GB reserved=6.78GB

[class6]   [detail] step   100/1500 means=0.000001 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 67.125s/step elapsed=112.9min | mem alloc=1.68GB reserved=6.78GB

[class6]   [detail] step   200/1500 means=0.000001 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 67.160s/step elapsed=224.9min | mem alloc=1.68GB reserved=6.78GB

[class6]   [detail] step   300/1500 means=0.000001 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 67.146s/step elapsed=336.8min | mem alloc=1.68GB reserved=6.78GB

[class6]   [detail] step   400/1500 means=0.000001 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 67.165s/step elapsed=448.7min | mem alloc=1.68GB reserved=6.78GB

[class6]   [detail] step   500/1500 means=0.000001 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 67.097s/step elapsed=560.5min | mem alloc=1.68GB reserved=6.78GB

[class6]   [detail] step   600/1500 means=0.000001 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 67.125s/step elapsed=672.4min | mem alloc=1.68GB reserved=6.78GB

[class6]   [detail] step   700/1500 means=0.000001 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 67.172s/step elapsed=784.4min | mem alloc=1.68GB reserved=6.78GB

[class6]   [detail] step   800/1500 means=0.000001 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 67.085s/step elapsed=896.2min | mem alloc=1.68GB reserved=6.78GB

[class6]   [detail] step   900/1500 means=0.000001 cov=0.000001 coskew(mb)=0.000000 bounds=0.000000 | interval 67.089s/step elapsed=1008.0min | mem alloc=1.68GB reserved=6.78GB
